id,title,bathrooms,features,address,macrozone,microzone,latitude,longitude,price_n,surface_n,rooms_n,price_sqm,surface_room,accesso per disabili,aria condizionata,armadi,armadio a muro,arredata,arredato,ascensore,attacco telefonico,bagno in comune,bagno per disabili,bagno privato,balcone,caminetto,campo da tennis,cancello elettrico,cantina,con biancheria,connessione ad internet,cucina,esposizione doppia,esposizione esterna,esposizione interna,fibra ottica,giardino,impianto di allarme,impianto tv centralizzato,impianto tv con parabola satellitare,ingresso privato,lavastoviglie,lavatrice,microonde,moquette,palestra,parquet,parzialmente arredato,piscina,porta blindata,portineria,ripostiglio,sistema di allarme,taverna,terrazzo,tv,tv satellitare/pay tv,videocitofono,heating_Assente,heating_Autonomo,heating_Centralizzato,bikemi_density_500m,tram_density_500m,metro_density_750m
127504434,"Stanza in affitto in appartamento via Fernanda Wittgens, Milano",3,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Fernanda Wittgens,Centro,Carrobbio,45.4576,9.18402,820,15,5,54.66666666666666,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,11,22,4
127275181,"Stanza in affitto in appartamento viale Piceno, Milano",2,"fibra ottica, porta blindata, esposizione esterna, balcone, impianto tv centralizzato",Viale Piceno,"Città Studi, Susa",Plebisciti - Susa,45.4644,9.2177,760,120,5,6.333333333333333,19.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,6,8,2
127462936,"Stanza in affitto in appartamento via Fernanda Wittgens, Milano",3,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Fernanda Wittgens,Centro,Carrobbio,45.4576,9.18402,720,15,5,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,11,22,4
127414653,"Stanza in affitto in appartamento via Del Reno, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Del Reno,"Bicocca, Niguarda",Bruzzano,45.5255,9.17005,825,140,5,5.892857142857143,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,0,0,2
127384325,"Stanza in affitto in appartamento via Adele Martignoni, Milano",1,"fibra ottica, porta blindata, esposizione esterna, balcone, impianto tv centralizzato",Via Adele Martignoni,"Maggiolina, Istria",Maggiolina,45.4941,9.19704,775,90,4,8.61111111111111,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,4,5,4
127504438,"Stanza in affitto in appartamento via Luigi Mercantini, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Luigi Mercantini,"Affori, Bovisa",Bovisa,45.5015,9.16316,700,55,4,12.72727272727273,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,2,0
127462712,"Stanza in affitto in appartamento via Salvatore Barzilai, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Salvatore Barzilai,"Bande Nere, Inganni",Lorenteggio,45.4523,9.13914,700,88,5,7.954545454545454,14.080000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,0,3
127414893,"Stanza in affitto in appartamento viale Nazario Sauro, Milano",3,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Nazario Sauro,"Maggiolina, Istria",Maggiolina,45.4915,9.19756,710,15,5,47.33333333333334,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,6,5,5
127303917,"Stanza in affitto in appartamento via Plinio, Milano",1,"fibra ottica, porta blindata, esposizione esterna, balcone, impianto tv centralizzato",Via Plinio,"Città Studi, Susa",Città Studi,45.4766,9.21804,740,15,3,49.33333333333334,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,9,2
127051081,"Stanza in affitto in appartamento via Salvatore Barzilai, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Salvatore Barzilai,"Bande Nere, Inganni",Lorenteggio,45.4519,9.14075,735,74,4,9.932432432432432,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,2,3
127570118,"Stanza in affitto in appartamento via Valenza, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Valenza,Navigli,Navigli - Darsena,45.4509,9.16878,840,15,5,56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,4,10,1
127490522,"Stanza in affitto in appartamento via Luosi, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Luosi,"Città Studi, Susa",Città Studi,45.4817,9.2222,750,141,5,5.319148936170213,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,5,2,3
127414741,"Stanza in affitto in appartamento via Giovanni Pierluigi da Palestrina, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giovanni Pierluigi da Palestrina,"Centrale, Repubblica",Buenos Aires,45.4851,9.2149,790,15,5,52.66666666666666,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,6,3,5
127356321,"Stanza in affitto in appartamento via Bartolomeo d'Alviano, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Bartolomeo d'Alviano,"Bande Nere, Inganni",Lorenteggio,45.453,9.14127,715,130,5,5.5,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,1,3
126704843,"Stanza singola piazzale Segrino 6, Milano",1,"giardino, cucina, lavatrice, microonde, portineria, bagno in comune, parquet, tv, armadi",Piazzale Segrino,"Cenisio, Sarpi, Isola",Zara,45.4905,9.1896,700,15,1,46.66666666666666,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRUE,FALSE,FALSE,5,9,4
127570214,"Stanza in affitto in appartamento largo Giovanni Battista Scalabrini, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Largo Giovanni Battista Scalabrini,"Famagosta, Barona",Giambellino,45.4501,9.14046,730,118,5,6.186440677966102,18.880000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,2,3
127490534,"Stanza in affitto in appartamento via Salvatore Barzilai, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Salvatore Barzilai,"Bande Nere, Inganni",Lorenteggio,45.4521,9.1396,730,70,5,10.42857142857143,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,2,3
127141331,"Stanza in affitto in appartamento corso Lodi, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Corso Lodi,"Porta Vittoria, Lodi",Lodi - Brenta,45.4435,9.21768,740,15,5,49.33333333333334,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,4,0,3
