"id","bathrooms","heating","macrozone","microzone","price_n","rooms_n","price_sqm","surface_room","geometry","time_to_nearest_metro_mins","time_to_nearest_tram_mins","min_time_to_uni_mins"
127343611,"1","Assente","Bicocca, Niguarda","Prato Centenaro",550,3,6.25,23.4666666666667,c(9.1981, 45.5112),7.78398542125856,6.22227709432528,59.6
126635431,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",500,2,9.09090909090909,22,c(9.1497, 45.499),27.3041676322671,0.412350604968882,13.9
126641349,"1","Assente","Città Studi, Susa","Casoretto",450,2,8.18181818181818,22,c(9.2299, 45.4891),9.42157695128161,10.7805862522668,17.9
126016827,"1","Centralizzato","Bicocca, Niguarda","Prato Centenaro",550,3,39.2857142857143,14,c(9.20002, 45.5105),5.80344712403161,3.81879848523956,60.4
122188484,"2","Assente","Bande Nere, Inganni","Bande Nere",575,3,28.75,20,c(9.1332, 45.4626),4.39796885815153,20.0835125148697,79.7
114315133,"2","Assente","Bande Nere, Inganni","Lorenteggio",530,3,26.5,20,c(9.1383, 45.4521),5.01108284544661,7.8353076050099,96.2
123868677,"2","Assente","Bande Nere, Inganni","Lorenteggio",530,3,31.1764705882353,17,c(9.1383, 45.4521),5.01108284544661,7.8353076050099,96.2
126147253,"1","Assente","Porta Vittoria, Lodi","Martini - Insubria",500,3,5.55555555555556,24,c(9.2211, 45.4523),15.8320500868488,3.48718783442966,46
123360459,"2","Assente","Famagosta, Barona","Giambellino",550,3,5.5,20,c(9.1481, 45.4517),3.45089753274298,2.04623626280945,95.4
126249863,"2","Assente","Bande Nere, Inganni","Lorenteggio",530,3,31.1764705882353,17,c(9.1383, 45.4521),5.01108284544661,7.8353076050099,96.2
125869299,"1","Assente","Città Studi, Susa","Argonne - Corsica",550,4,55,10,c(9.2311, 45.4674),1.56691151284246,6.1906339111704,21.1
103482990,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",500,4,25,20,c(9.1442, 45.4964),20.0189671151823,1.68621358176115,24.4
126675081,"1","Assente","Bicocca, Niguarda","Niguarda",550,3,61.1111111111111,9,c(9.1918, 45.5135),15.7030437958342,1.62398388876159,53.3
121427078,"1","Assente","Città Studi, Susa","Città Studi",400,4,5.71428571428571,14,c(9.2341, 45.469),3.08885138152362,3.45119954428139,21.6
120888004,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",500,4,35.7142857142857,14,c(9.1475, 45.4933),17.9609418973348,2.60201728497621,24.2
124709313,"1","Centralizzato","Cimiano, Crescenzago, Adriano","Cimiano",565,4,51.3636363636364,11,c(9.23587, 45.5024),7.75983251338165,21.5176265974691,42
127528398,"1","Assente","Bande Nere, Inganni","Bande Nere",500,2,7.14285714285714,20,c(9.134, 45.4624),3.3688128795536,19.5570212005376,79.8
126804991,"1","Assente","Pasteur, Rovereto","Parco Trotter",540,3,7.71428571428571,18.6666666666667,c(9.2228, 45.4908),6.00409178863833,8.45225499512453,21
111570795,"1","Assente","San Siro, Trenno","San Carlo",320,3,20,16,c(9.1146, 45.4619),11.4529166642232,26.6958741171088,96.4
124326529,"3","Assente","Solari, Washington","Solari",500,4,33.3333333333333,15,c(9.163, 45.4584),2.84924124560614,3.76549970733126,85
123691519,"1","Assente","Forlanini","Quartiere Forlanini",530,3,5.09615384615385,20,c(9.2429, 45.4604),4.13870355561663,4.59872113881773,40.9
118503573,"1","Assente","Udine, Lambrate","Quartiere Feltre",580,3,6.23655913978495,24.8,c(9.247, 45.488),13.6950637659516,11.5261789783503,29.8
117416845,"2","Assente","Bande Nere, Inganni","Lorenteggio",550,3,34.375,16,c(9.1285, 45.4517),8.75315940371261,12.1853366458793,100
120170150,"1","Assente","Navigli","Ascanio Sforza",550,3,6.11111111111111,24,c(9.1784, 45.4457),13.4900900872448,1.14287577415863,84.1
96058846,"1","Assente","Porta Venezia, Indipendenza","Indipendenza",460,3,23,20,c(9.2155, 45.4655),5.63182011121578,5.67851675911056,28.4
127619756,"2","Centralizzato","Bande Nere, Inganni","Lorenteggio",570,4,5.37735849056604,21.2,c(9.1335, 45.4537),7.42701267259509,12.6965887133867,93.2
127614754,"1","Assente","Città Studi, Susa","Città Studi",530,4,5.19607843137255,20.4,c(9.234, 45.4861),3.4684479118156,3.56843460938468,16.5
127220789,"1","Assente","San Siro, Trenno","Gallaratese",530,4,5.52083333333333,19.2,c(9.1051, 45.5005),4.47024128454034,19.6768174183228,70.5
95553324,"1","Assente","Uptown, Cascina Merlata, Viale Certosa","Certosa",450,3,6.42857142857143,18.6666666666667,c(9.1482, 45.4925),17.6630938659442,1.50915834245503,25
121079630,"1","Assente","Affori, Bovisa","Quarto Oggiaro",480,3,6.85714285714286,18.6666666666667,c(9.1335, 45.5082),29.6061138557927,1.49787780084082,32.1
124937105,"1","Centralizzato","Ripamonti, Vigentino","Ripamonti - Fondazione Prada",550,3,22,25,c(9.19626, 45.438),23.338415381011,5.37391923107371,84.5
127037133,"2","Assente","San Siro, Trenno","Gallaratese",580,4,5.27272727272727,22,c(9.1187, 45.4985),8.2277143805027,8.57450296119342,55.1
127220957,"1","Assente","San Siro, Trenno","Gallaratese",530,4,5.52083333333333,19.2,c(9.1051, 45.5005),4.47024128454034,19.6768174183228,70.5
121107910,"1","Assente","Affori, Bovisa","Quarto Oggiaro",480,3,6.85714285714286,18.6666666666667,c(9.1335, 45.5082),29.6061138557927,1.49787780084082,32.1
124616275,"1","Assente","Precotto, Turro","Turro",500,3,25,20,c(9.2256, 45.5004),5.6236699052973,14.9955169024264,35.3
127619750,"2","Centralizzato","Bande Nere, Inganni","Lorenteggio",550,4,5.18867924528302,21.2,c(9.1335, 45.4537),7.42701267259509,12.6965887133867,93.2
