id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
123662587,"Stanza singola via Abelardo Pecorini, Milano", € 550.00 ,€ 550/mese,3,1,100 m²,3°,Assente,"balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, portineria, bagno in comune, ingresso privato, armadi",Via Abelardo Pecorini,Forlanini,Quartiere Forlanini,45.4589,9.2507,Immobiliare My House,02 8974 3566,17,https://www.immobiliare.it/annunci/123662587/,
124947647,"Stanza singola via Rogoredo, Milano", € 530.00 ,€ 530/mese,4,1,130 m²,5°,Assente,"ripostiglio, balcone, cucina, connessione ad internet, campo da tennis, lavatrice, microonde, bagno in comune, aria condizionata, armadi",Via Rogoredo,"Ponte Lambro, Santa Giulia",Santa Giulia,45.4312,9.2434,Promozione Immobiliare,0744 181 1074,18,https://www.immobiliare.it/annunci/124947647/,
127341561,"Stanza singola Bocconi, Milano", € 500.00 ,€ 500/mese,5,2,120 m²,4°,Assente,"ripostiglio, giardino, balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, tv satellitare/pay tv, portineria, bagno in comune, parquet, tv, aria condizionata, armadi",Viale Toscana,Navigli,Bocconi,45.4464,9.1934,TEMPOCASA Milano Ripamonti,02 9475 7072,11,https://www.immobiliare.it/annunci/127341561/,
127447474,"Stanza singola via Monte Palombino 8, Milano", € 470.00 ,€ 470/mese,4,1,30 m²,2°,Assente,"ripostiglio, cucina, lavatrice, microonde, bagno in comune, tv",Via Monte Palombino,"Ponte Lambro, Santa Giulia",Santa Giulia,45.432,9.2444,Team Clementi Immobiliare - Area Nord,02 9994 9523,30,https://www.immobiliare.it/annunci/127447474/,
127103839,"Stanza singola via Nicola Antonio Porpora 169, Milano", € 500.00 ,€ 500/mese,3,1,78 m²,1°,Assente,"ripostiglio, balcone, connessione ad internet, lavatrice, tv satellitare/pay tv, bagno in comune, armadi",Via Nicola Antonio Porpora,"Città Studi, Susa",Casoretto,45.4862,9.2331,TEMPOCASA Milano Città Studi Porpora,02 8295 2122,8,https://www.immobiliare.it/annunci/127103839/,
94743370,"Stanza singola Piazzale Siena, Milano", € 450.00 ,€ 450/mese,2,1,13 m²,3°,Assente,"cucina, connessione ad internet, lavatrice, microonde, tv satellitare/pay tv, portineria, con biancheria, bagno in comune, armadi",Via Edoardo Chinotto,"Bande Nere, Inganni",Piazzale Siena,45.468,9.1267,Salco,02 9475 2844,10,https://www.immobiliare.it/annunci/94743370/,
125023769,"Stanza doppia via Caduti di Marcinelle 4, Milano", € 325.00 ,€ 325/mese,3,2,80 m²,8°,Assente,"balcone, terrazzo",Via Caduti di Marcinelle,"Udine, Lambrate",Rubattino,45.4798,9.2473,Immuni SRL,06 5326 7486,9,https://www.immobiliare.it/annunci/125023769/,
115244887,"Stanza singola via Jan Sibelius 24, Milano", € 550.00 ,€ 550/mese,5,2,18 m²,8°,Assente,"giardino, balcone, connessione ad internet, lavatrice, tv satellitare/pay tv, portineria, tv, armadi",Via Jan Sibelius,"Bicocca, Niguarda",Bignami - Ponale,45.5217,9.2081,Magic Real Estate,02 8974 7532,11,https://www.immobiliare.it/annunci/115244887/,
126592155,"Stanza doppia via Savona 1, Milano", € 500.00 ,€ 500/mese,3,2,20 m²,2°,Assente,"balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, tv satellitare/pay tv, portineria, bagno in comune, tv, armadi",Via Savona,"Solari, Washington",Solari,45.4562,9.1703,TEMPOCASA Milano Solari,02 9475 8058,12,https://www.immobiliare.it/annunci/126592155/,
125972243,"Stanza in affitto in appartamento via Codogno 1, Milano", € 330.00 ,€ 330/mese,5,1,16 m²,"4° piano, con ascensore",Centralizzato,"cancello elettrico, fibra ottica, porta blindata, balcone, arredato, cantina, esposizione doppia",Via Codogno 1,"Porta Vittoria, Lodi",Bologna - Sulmona,45.4429,9.22731,Tempoaffitti Milano Umbria,02 8127 3242,19,https://www.immobiliare.it/annunci/125972243/,
