id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
127313793,"Stanza singola via Rombon 40, Milano",650,€ 650/mese,,,,8°,Centralizzato,"balcone, ripostiglio, lavatrice, armadi",Via Rombon,"Udine, Lambrate",Lambrate,45.4862,9.24249,Privato/Nessuna,,4,https://www.immobiliare.it/annunci/127313793/,
90942158,"Stanza singola via Odoardo Tabacchi 56, Milano",650,€ 650/mese,5,2,14 m²,1°,Centralizzato,"connessione ad internet, ripostiglio, lavatrice, ascensore, armadi, cucina, arredato",Via Odoardo Tabacchi,Navigli,Corso San Gottardo,45.4478,9.18616,Privato/Nessuna,,2,https://www.immobiliare.it/annunci/90942158/,
125228053,"Stanza singola via Ernesto Reinach 6, Milano",700,€ 700/mese,,,20 m²,2°,Centralizzato,"balcone, connessione ad internet, ripostiglio, lavatrice, microonde, portineria, ascensore, bagno privato, tv, armadi, cucina",Via Ernesto Reinach,"Affori, Bovisa",Dergano,45.5036,9.18753,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/125228053/,
126268217,"Stanza singola via Francesco Denti, Milano",650,€ 650/mese,,,,2°,Centralizzato,"portineria, armadi",Via Francesco Denti,"Città Studi, Susa",Città Studi,45.4757,9.22439,Privato/Nessuna,,3,https://www.immobiliare.it/annunci/126268217/,
121845372,"Stanza singola via Francesco De Sanctis 33, Milano",650,€ 650/mese,2,1,20 m²,1°,Centralizzato,"balcone, ascensore, giardino, lavatrice, portineria, armadi, cucina",Via Francesco De Sanctis,"Abbiategrasso, Chiesa Rossa",Cermenate - Abbiategrasso,45.4362,9.17906,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/121845372/,
120548886,"Stanza singola largo Camillo Caccia Dominioni 1, Milano",650,€ 650/mese,4,1,15 m²,2°,Centralizzato,"balcone, cucina",Largo Camillo Caccia Dominioni,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4383,9.19574,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/120548886/,
114544857,"Stanza doppia via Giovanni Battista Boeri 11, Milano",650,€ 650/mese,5+,3,175 m²,7°,Centralizzato,"balcone, ascensore, connessione ad internet, ripostiglio, giardino, piscina, campo da tennis, palestra, lavatrice, portineria, armadi, cucina",Via Giovanni Battista Boeri,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.441,9.18614,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/114544857/,
119111899,"Stanza doppia via Romeo Frassinetti 12, Milano",350,€ 700/mese | € 350 a posto letto,,,50 m²,3°,Assente,"balcone, ascensore, armadi, bagno privato",Via Romeo Frassinetti,"San Siro, Trenno",San Siro,45.4699,9.1415,Privato/Nessuna,,3,https://www.immobiliare.it/annunci/119111899/,
86495062,"Stanza singola via Ruggero Bonghi 23, Milano",650,€ 650/mese | € 650 a posto letto,,,,,Assente,"balcone, connessione ad internet, parquet, arredato",Via Ruggero Bonghi,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.441,9.18266,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/86495062/,
93956400,"Stanza singola via Giovanni da Milano 7, Milano",650,€ 650/mese,,,15 m²,6°,Centralizzato,"terrazzo, lavatrice, ascensore, armadi, cucina",Via Giovanni da Milano,"Città Studi, Susa",Città Studi,45.4693,9.22474,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/93956400/,
